run_accession	sample_name
ERR1369686	1939.SKBTI.0682
ERR1369689	1939.SKBTI.0688
ERR1369692	1939.SKBTI.0692
ERR1369694	1939.SKBTI.0700
ERR1369697	1939.SKBTI.0705.a
ERR1369701	1939.SKBTI.0708
ERR1369710	1939.SKBTI.0727
ERR1369729	1939.SKBTI.0755
ERR1369733	1939.SKBTI.0758
ERR1369736	1939.SKBTI.0762
ERR1369738	1939.SKBTI.0764
ERR1369742	1939.SKBTI.0767.b
ERR1369753	1939.SKBTI.0876
ERR1369759	1939.SKBTI.0884
ERR1369780	1939.SKBTI.0921
ERR1369782	1939.SKBTI.0924
ERR1369791	1939.SKBTI.0934
ERR1369798	1939.SKBTI.0943
ERR1369799	1939.SKBTI.0944
ERR1369809	1939.SKBTI.0958
ERR1369810	1939.SKBTI.0961
ERR1369821	1939.SKBTI.0974
ERR1369830	1939.SKBTI.0985
ERR1369832	1939.SKBTI.0988
ERR1369839	1939.SKBTI.0997
ERR1369840	1939.SKBTI.0998
ERR1369845	1939.SKBTI.1004
ERR1369846	1939.SKBTI.1006
ERR1369847	1939.SKBTI.1007
ERR1369856	1939.SKBTI.1016
ERR1369858	1939.SKBTI.1018
ERR1369860	1939.SKBTI.1020
ERR1369872	1939.SKBTI.1033
ERR1369873	1939.SKBTI.1034
ERR1369879	1939.SKBTI.1041
ERR1369881	1939.SKBTI.1043
ERR1369885	1939.SKBTI.1047
ERR1369887	1939.SKBTI.1049
ERR1369888	1939.SKBTI.1050
ERR1369895	1939.SKBTI.1057
ERR1369905	1939.SKBTI.1068
ERR1369907	1939.SKBTI.1070
ERR1369919	1939.SKBTI.1086
ERR1369928	1939.SKBTI.1097
ERR1369930	1939.SKBTI.1099
ERR1369932	1939.SKBTI.1103
ERR1369938	1939.SKBTI.1111
ERR1369943	1939.SKBTI.1116
ERR1369944	1939.SKBTI.1117
ERR1369949	1939.SKBTI.1123
ERR1369952	1939.SKBTI.1126
ERR1369954	1939.SKBTI.1128
ERR1369963	1939.SKBTI.1142
ERR1369967	1939.SKBTI.1147
ERR1369461	1939.SKBTI.0266
ERR1369471	1939.SKBTI.0274.a
ERR1369476	1939.SKBTI.0277.a
ERR1369477	1939.SKBTI.0277.b
ERR1369482	1939.SKBTI.0282.a
ERR1369483	1939.SKBTI.0282.b
ERR1369492	1939.SKBTI.0311
ERR1369495	1939.SKBTI.0362
ERR1369496	1939.SKBTI.0363
ERR1369497	1939.SKBTI.0391
ERR1369501	1939.SKBTI.0422
ERR1369503	1939.SKBTI.0448
ERR1369504	1939.SKBTI.0481
ERR1369507	1939.SKBTI.0484
ERR1369544	1939.SKBTI.0524
ERR1369550	1939.SKBTI.0530
ERR1369551	1939.SKBTI.0531
ERR1369553	1939.SKBTI.0533
ERR1369559	1939.SKBTI.0540
ERR1369584	1939.SKBTI.0566
ERR1369586	1939.SKBTI.0568
ERR1369593	1939.SKBTI.0575
ERR1369599	1939.SKBTI.0581
ERR1369603	1939.SKBTI.0587
ERR1369607	1939.SKBTI.0591
ERR1369608	1939.SKBTI.0592
ERR1369609	1939.SKBTI.0593
ERR1369616	1939.SKBTI.0600
ERR1369618	1939.SKBTI.0603
ERR1369622	1939.SKBTI.0607
ERR1369627	1939.SKBTI.0613
ERR1369637	1939.SKBTI.0624
ERR1369641	1939.SKBTI.0630
ERR1369663	1939.SKBTI.0654
ERR1369676	1939.SKBTI.0669
ERR1369678	1939.SKBTI.0671
ERR1369684	1939.SKBTI.0678
ERR1369690	1939.SKBTI.0689
ERR1369691	1939.SKBTI.0690
ERR1369693	1939.SKBTI.0697
ERR1369699	1939.SKBTI.0706
ERR1369700	1939.SKBTI.0707
ERR1369702	1939.SKBTI.0710
ERR1369703	1939.SKBTI.0713
ERR1369707	1939.SKBTI.0719
ERR1369713	1939.SKBTI.0731.b
ERR1369715	1939.SKBTI.0733
ERR1369726	1939.SKBTI.0751
ERR1369732	1939.SKBTI.0757
ERR1369734	1939.SKBTI.0759
ERR1369737	1939.SKBTI.0763
ERR1369744	1939.SKBTI.0839
ERR1369747	1939.SKBTI.0867
ERR1369752	1939.SKBTI.0872
ERR1369756	1939.SKBTI.0881
ERR1369760	1939.SKBTI.0885
ERR1369761	1939.SKBTI.0886
ERR1369790	1939.SKBTI.0933
ERR1369795	1939.SKBTI.0939
ERR1369801	1939.SKBTI.0947
ERR1369804	1939.SKBTI.0952
ERR1369807	1939.SKBTI.0956
ERR1369808	1939.SKBTI.0957
ERR1369812	1939.SKBTI.0965
ERR1369813	1939.SKBTI.0966
ERR1369818	1939.SKBTI.0971
ERR1369822	1939.SKBTI.0976
ERR1369825	1939.SKBTI.0980
ERR1369831	1939.SKBTI.0987
ERR1369854	1939.SKBTI.1014
ERR1369861	1939.SKBTI.1021
ERR1369864	1939.SKBTI.1024
ERR1369874	1939.SKBTI.1035
ERR1369875	1939.SKBTI.1036
ERR1369883	1939.SKBTI.1045
ERR1369889	1939.SKBTI.1051
ERR1369891	1939.SKBTI.1053
ERR1369896	1939.SKBTI.1058
ERR1369897	1939.SKBTI.1060
ERR1369899	1939.SKBTI.1062
ERR1369901	1939.SKBTI.1064
ERR1369902	1939.SKBTI.1065
ERR1369910	1939.SKBTI.1074
ERR1369911	1939.SKBTI.1075
ERR1369912	1939.SKBTI.1076
ERR1369924	1939.SKBTI.1091
ERR1369927	1939.SKBTI.1094
ERR1369933	1939.SKBTI.1104
ERR1369937	1939.SKBTI.1109
ERR1369942	1939.SKBTI.1115
ERR1369947	1939.SKBTI.1121
ERR1369950	1939.SKBTI.1124
ERR1369958	1939.SKBTI.1135
ERR1369975	1939.SKBTI.1162
ERR1369988	1939.SKBTI.1178
ERR1368880	1939.100003
ERR1368884	1939.100043
ERR1368886	1939.100047
ERR1368887	1939.100048
ERR1368889	1939.100051
ERR1368892	1939.100060
ERR1368894	1939.100065
ERR1368896	1939.100070
ERR1368897	1939.100071
ERR1368898	1939.100072
ERR1368899	1939.100074
ERR1368902	1939.100078
ERR1368906	1939.100086
ERR1368909	1939.100089
ERR1368913	1939.100095
ERR1368914	1939.100096
ERR1368915	1939.100099
ERR1368916	1939.100100
ERR1368918	1939.100102
ERR1368919	1939.100104
